Ticker,Description,Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Quick Ratio (MRQ),Total Assets (MRQ),Total Debt (MRQ),Total Current Assets (MRQ),Basic EPS (FY),Basic EPS (TTM),Dividends Paid (FY),Dividends per Share (FY),Dividends per Share (MRQ),Dividends Yield (FY),Country,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (FY),EPS Forecast (FQ),EPS Diluted (TTM),EPS Diluted (MRQ),Exchange,Goodwill,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Industry,Last Year Revenue (FY),Market Capitalization,Net Income (FY),Net Margin (TTM),Number of Shareholders,Number of Employees,Operating Margin (TTM),Pretax Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Earnings Ratio (TTM),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Rating,Recent Earnings Date,Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Sector,Shares Float,Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding (MRQ),Upcoming Earnings Date,1-Year Beta,Yearly Performance,YTD Performance
RELIANCEP1.E1,RELIANCE RS.5 PPD UP,1.34385448,0.32538727,902820000000,1.04961307,13212120000000,2601250000000,3730110000000,,,-39210000000,7,7,0.24052502,India,807370000000,10.8086,8807630000000,,,,,NSE,102120000000,28.44874112,1125150000000,370890000000,Oil Refining/Marketing,4663070000000,13214251383108,491280000000,10.52162665,3473547,236334,11.60038893,11.76743967,1.31837054,0.987216,,,0.13179597,0.13197036,Neutral,,3.95058234,8.51805327,6.42498011,19730847.02158809,Energy Minerals,,5217800000000,5217800000000,4663070000000,6339440000,,1.1744368,,
RELIANCE,RELIANCE INDUSTRIES LTD.,1.34385448,0.32538727,902820000000,1.04961307,13212120000000,2601250000000,3730110000000,76.3702,76.7261,-39210000000,7,7,0.33582002,India,807370000000,18.384,15058000000000,75.2097,21.151667,75.37,20.1,BSE,102120000000,28.44874112,1125150000000,370890000000,Oil Refining/Marketing,4663070000000,13214251383108,491280000000,10.52162665,3473547,236334,11.60038893,11.76743967,1.88728623,1.81372,27.65622927,,2.9333431,2.91994693,Neutral,2021-04-30,3.95058234,8.51805327,6.42498011,19730847.02158809,Energy Minerals,3161808378.88,5217800000000,5217800000000,4663070000000,6339440000,2021-07-23,0.74840593,8.54314222,5.78943391
RELIANCE,RELIANCE INDS,1.34385448,0.32538727,902820000000,1.04961307,13212120000000,2601250000000,3730110000000,76.3702,76.7261,-39210000000,7,7,0.33582002,India,807370000000,18.384,15058000000000,75.2097,21.151667,75.37,20.1,NSE,102120000000,28.44874112,1125150000000,370890000000,Oil Refining/Marketing,4663070000000,13214251383108,491280000000,10.52162665,3473547,236334,11.60038893,11.76743967,1.88696933,1.81372,27.65158551,,2.93285056,2.91945664,Neutral,2021-04-30,3.95058234,8.51805327,6.42498011,19730847.02158809,Energy Minerals,3161808378.88,5217800000000,5217800000000,4663070000000,6339440000,2021-07-23,0.74840593,8.51162791,5.7623533
RELIANCEPP,RELIANCE INDUSTRIES LTD,1.34385448,0.32538727,902820000000,1.04961307,13212120000000,2601250000000,3730110000000,,,-39210000000,7,7,0.24052502,India,807370000000,10.8086,8807630000000,,,,,BSE,102120000000,28.44874112,1125150000000,370890000000,Oil Refining/Marketing,4663070000000,13214251383108,491280000000,10.52162665,3473547,236334,11.60038893,11.76743967,1.3175104,0.987216,,,0.13170998,0.13188426,Buy,,3.95058234,8.51805327,6.42498011,19730847.02158809,Energy Minerals,,5217800000000,5217800000000,4663070000000,6339440000,,1.1744368,,31.35411069
TCS,TATA CONSULTANCY SERVICES LTD.,2.09123319,0,-131580000000,2.09123319,1360580000000,0,744960000000,86.7087,92.3808,-108500000000,38,7,1.25276,India,491850000000,24.888,12249400000000,86.7087,26.212096,92.3808,24.35,BSE,18420000000,32.87692829,536220000000,145290000000,Information Technology Services,1641770000000,11810885570432,324300000000,20.10323123,1110762,506908,26.28717901,27.10345311,13.66478788,13.7396,34.56291784,43.6355,6.89622347,7.27384869,Sell,2021-07-07,26.2105139,38.31537011,36.89416101,3238792.83814815,Technology Services,1028128753.2,436510000000,453270000000,1641770000000,3699050000,2021-10-08,0.5426482,43.62820842,11.06891157
TCS,TATA CONSULTANCY S,2.09123319,0,-131580000000,2.09123319,1360580000000,0,744960000000,86.7087,92.3808,-108500000000,38,7,1.25276,India,491850000000,24.888,12249400000000,86.7087,26.212096,92.3808,24.35,NSE,18420000000,32.87692829,536220000000,145290000000,Information Technology Services,1641770000000,11810885570432,324300000000,20.10323123,1110762,506908,26.28717901,27.10345311,13.66542983,13.7396,34.56454155,43.6355,6.89654744,7.27419041,Sell,2021-07-07,26.2105139,38.31537011,36.89416101,3238792.83814815,Technology Services,1028128753.2,436510000000,453270000000,1641770000000,3699050000,2021-10-08,0.5426482,43.58333333,11.345734
HDFCBANK,HDFC BANK,0.21056642,0.91337238,822493646000,,17995066442000,1922127814000,1337342090000,57.882,57.835,0,6.5,6.5,0.43703353,India,,,9115840000000,57.6123,14.586,57.5958,14.9,NSE,1487900000,,,,Regional Banks,1573240231000,8219889792955,318332091000,20.42092108,618595,120093,27.45361204,27.45361204,3.9071023,3.92431,25.81785477,13.9626,5.29278852,5.22253167,Buy,2021-04-17,1.88343406,16.48667747,8.21542271,13100182.61680531,Finance,4352866778.88,15890636909000,15890636909000,1573240231000,5526720000,2021-07-17,1.2111884,39.02800278,4.56380979
HDFCBANK,HDFC BANK LTD.,0.21056642,0.91337238,822493646000,,17995066442000,1922127814000,1337342090000,57.882,57.835,0,6.5,6.5,0.43703353,India,,,9115840000000,57.6123,14.586,57.5958,14.9,BSE,1487900000,,,,Regional Banks,1573240231000,8219889792955,318332091000,20.42092108,618595,120093,27.45361204,27.45361204,3.90789055,3.92431,25.82306349,13.9626,5.29385633,5.22358531,Buy,2021-04-17,1.88343406,16.48667747,8.21542271,13100182.61680531,Finance,4352866778.88,15890636909000,15890636909000,1573240231000,5526720000,2021-07-17,1.2111884,38.97630507,4.50669915
INFY,INFOSYS LTD,2.54213283,0.06935219,-237850000000,2.54213283,1083860000000,53250000000,606680000000,45.6132,45.6124,-91170000000,27,15,1.7442424,India,283290000000,19.6992,5581840000000,45.5239,12.482877,45.5365,11.94,NSE,60790000000,34.89295632,301030000000,91470000000,Information Technology Services,1004720000000,6596235742003,193510000000,19.25990067,1472312,259619,24.94301952,26.5026425,8.60610797,7.60475,33.99141348,43.3294,6.55014145,6.54858692,Buy,2021-04-14,19.23998528,27.29317847,25.73237058,3869978.69955589,Technology Services,3658189501.98,315470000000,315470000000,1004720000000,4261270000.000001,2021-07-14,0.70814675,93.8335135,23.02516324
INFY,INFOSYS LTD.,2.54213283,0.06935219,-237850000000,2.54213283,1083860000000,53250000000,606680000000,45.6132,45.6124,-91170000000,27,15,1.7442424,India,283290000000,19.6992,5581840000000,45.5239,12.482877,45.5365,11.94,BSE,60790000000,34.89295632,301030000000,91470000000,Information Technology Services,1004720000000,6596235742003,193510000000,19.25990067,1472312,259619,24.94301952,26.5026425,8.60666397,7.60475,33.99360952,43.3294,6.55056462,6.54901,Buy,2021-04-14,19.23998528,27.29317847,25.73237058,3869978.69955589,Technology Services,3658189501.98,315470000000,315470000000,1004720000000,4261270000.000001,2021-07-14,0.70814675,93.91238617,23.01628379
